qualified_name,entity_guid,entity_type,name,database_name,owner
maxcompute-table.dataworks_analyze.meta_table_lineage,odps.dataworks_analyze.meta_table_lineage,odps-table,meta_table_lineage,dataworks_analyze,晨鹏
maxcompute-table.dataworks_analyze.tmp_d_table_lineage_with_skynets,odps.dataworks_analyze.tmp_d_table_lineage_with_skynets,odps-table,tmp_d_table_lineage_with_skynets,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.meta_table_lineage_statistics,odps.dataworks_analyze.meta_table_lineage_statistics,odps-table,meta_table_lineage_statistics,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.meta_table_lineage_with_user,odps.dataworks_analyze.meta_table_lineage_with_user,odps-table,meta_table_lineage_with_user,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.rpt_d_table_lineage,odps.dataworks_analyze.rpt_d_table_lineage,odps-table,rpt_d_table_lineage,dataworks_analyze,149944
maxcompute-table.ecodata_dist.icbu_jspt_meta_table_lineage_view,odps.ecodata_dist.icbu_jspt_meta_table_lineage_view,odps-table,icbu_jspt_meta_table_lineage_view,ecodata_dist,117142
maxcompute-table.ecodata_dist.vabt_jspt_meta_table_lineage_view,odps.ecodata_dist.vabt_jspt_meta_table_lineage_view,odps-table,vabt_jspt_meta_table_lineage_view,ecodata_dist,268394
maxcompute-table.fin_data_platform.fin_meta_table_lineage,odps.fin_data_platform.fin_meta_table_lineage,odps-table,fin_meta_table_lineage,fin_data_platform,268394
maxcompute-table.cdo_meta.meta_io_schd_relation,odps.cdo_meta.meta_io_schd_relation,odps-table,meta_io_schd_relation,cdo_meta,102205
maxcompute-table.dataworks_analyze.dim_calc_engine_info_d,odps.dataworks_analyze.dim_calc_engine_info_d,odps-table,dim_calc_engine_info_d,dataworks_analyze,083361
maxcompute-table.dataworks_analyze.dw_meta_maxcompute_tables_v2,odps.dataworks_analyze.dw_meta_maxcompute_tables_v2,odps-table,dw_meta_maxcompute_tables_v2,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.dwd_d_inst_derived_table_lineages,odps.dataworks_analyze.dwd_d_inst_derived_table_lineages,odps-table,dwd_d_inst_derived_table_lineages,dataworks_analyze,149944
maxcompute-table.dataworks_meta.ods_phoenix_node_def_hh,odps.dataworks_meta.ods_phoenix_node_def_hh,odps-table,ods_phoenix_node_def_hh,dataworks_meta,075180
maxcompute-table.onemeta.dim_meta_do_project_odps,odps.onemeta.dim_meta_do_project_odps,odps-table,dim_meta_do_project_odps,onemeta,102205
mysql-table.4d6d25c4647eb187660054a4e2c88da7ffb287e2,4d6d25c4647eb187660054a4e2c88da7ffb287e2,mysql-table,base_meta_io_schd_relation,dw_metaservice,
loghub-logstore.b52a375842a2066f5afcb524abd21c8807f7bd33,b52a375842a2066f5afcb524abd21c8807f7bd33,loghub-logstore,lineage,,
loghub-logstore.f01251296bd1cfaec37ae9268c5d5b92def773ab,f01251296bd1cfaec37ae9268c5d5b92def773ab,loghub-logstore,entity_lineage,,
mysql-table.22badf3053c1ae316917326ddf761907cb7842ee,22badf3053c1ae316917326ddf761907cb7842ee,mysql-table,fin_meta_table_lineage,fin_data_monitor,
maxcompute-table.cdo_boss.meta_table,odps.cdo_boss.meta_table,odps-table,meta_table,cdo_boss,102205
maxcompute-table.cdo_boss.meta_table_relation,odps.cdo_boss.meta_table_relation,odps-table,meta_table_relation,cdo_boss,102205
maxcompute-table.cdo_meta.20240624_5867_mv_table_ab62cdb2cff51ba4188784c2d7af78e49c781ba8c99f9916251b51f2439ddd70,odps.cdo_meta.20240624_5867_mv_table_ab62cdb2cff51ba4188784c2d7af78e49c781ba8c99f9916251b51f2439ddd70,odps-table,20240624_5867_mv_table_ab62cdb2cff51ba4188784c2d7af78e49c781ba8c99f9916251b51f2439ddd70,cdo_meta,102205
maxcompute-table.cdo_meta.m_dw_odps_table_relations_based_on_js_and_sxml,odps.cdo_meta.m_dw_odps_table_relations_based_on_js_and_sxml,odps-table,m_dw_odps_table_relations_based_on_js_and_sxml,cdo_meta,102205
maxcompute-table.cdo_meta.m_ods_s_phoenix_node_def,odps.cdo_meta.m_ods_s_phoenix_node_def,odps-table,m_ods_s_phoenix_node_def,cdo_meta,102205
maxcompute-table.cdo_meta.mc_dim_tables_and_views,odps.cdo_meta.mc_dim_tables_and_views,odps-table,mc_dim_tables_and_views,cdo_meta,102205
maxcompute-table.cdo_meta.odps_input_output_mapping,odps.cdo_meta.odps_input_output_mapping,odps-table,odps_input_output_mapping,cdo_meta,102205
maxcompute-table.cdo_meta.temp_odps_table_relation_with_skynet,odps.cdo_meta.temp_odps_table_relation_with_skynet,odps-table,temp_odps_table_relation_with_skynet,cdo_meta,102205
mysql-table.0fe32be469bf174aeb61b739fb739b569aac985a,0fe32be469bf174aeb61b739fb739b569aac985a,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.1cc1233405fa2fcb1f6228e193df5f81e64aaa95,1cc1233405fa2fcb1f6228e193df5f81e64aaa95,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.241cc0c1adc630bc3cea0b08d984c71434cef959,241cc0c1adc630bc3cea0b08d984c71434cef959,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.242963b5433f6ed27803ae48406245e8ebdb877b,242963b5433f6ed27803ae48406245e8ebdb877b,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.37635250bd3f2ee32c1cb1486084ca4a4693fff3,37635250bd3f2ee32c1cb1486084ca4a4693fff3,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.44b8e84575f0e93e7c4e8eea7d967c8b627446e5,44b8e84575f0e93e7c4e8eea7d967c8b627446e5,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.54a6cc1aa8a4d4f81a1283ea974e190e4eb90b0f,54a6cc1aa8a4d4f81a1283ea974e190e4eb90b0f,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.5c7c2d016b266adcf2a3fa3aaa921a9ba6c35378,5c7c2d016b266adcf2a3fa3aaa921a9ba6c35378,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.5edc665708c97f7e4ac92c4beeae731c55d30393,5edc665708c97f7e4ac92c4beeae731c55d30393,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.60b87f263239fea26644c936c4d79fc921eacd32,60b87f263239fea26644c936c4d79fc921eacd32,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.781719bb68ff812ea8d8da632e4e1324ae9eaa79,781719bb68ff812ea8d8da632e4e1324ae9eaa79,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.7a4a804343e9e95de75613919a02facba680c93f,7a4a804343e9e95de75613919a02facba680c93f,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.8231a72d7c81fce4e77b1cfdce2d8a4bfe9bd2ca,8231a72d7c81fce4e77b1cfdce2d8a4bfe9bd2ca,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.897aa787d2fcecffc09a467de9c2bc981050c0d8,897aa787d2fcecffc09a467de9c2bc981050c0d8,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.90da4f6cc91ae3329a8a03a1c0d61434a8a8fb53,90da4f6cc91ae3329a8a03a1c0d61434a8a8fb53,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.9e1efbd5dff44bf9358d52a71549cd4c0c9c0834,9e1efbd5dff44bf9358d52a71549cd4c0c9c0834,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.9f3d8ad204d0a4a148f23e2dec6648f0787febe7,9f3d8ad204d0a4a148f23e2dec6648f0787febe7,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.9f504c299e5187296b508031e0246b1e3e5cf54c,9f504c299e5187296b508031e0246b1e3e5cf54c,mysql-table,base_calc_engine,oxs_base_biz_tenant,
mysql-table.a3216acec81aa0b8f4a3923d5e2967d574938d8e,a3216acec81aa0b8f4a3923d5e2967d574938d8e,mysql-table,base_calc_engine,oxs_base_biz_tenant,
