src_qualified_name,dst_qualified_name,relationship_type,direction,depth,relationship_ids
maxcompute-table.dataworks_meta.m_table_lineage_private_domains,maxcompute-table.dataworks_analyze.m_table_lineage_private_domains,SQL,DOWN,1,odps.SQL.177600152
maxcompute-table.dataworks_analyze.m_table_lineage_private_domains,maxcompute-table.dataworks_analyze.m_table_filtered_lineage_private_domains,SQL,DOWN,2,odps.SQL.307967766
maxcompute-table.dataworks_analyze.m_table_filtered_lineage_private_domains,maxcompute-table.dataworks_analyze.dwd_d_inst_derived_table_lineages,SQL,DOWN,3,odps.SQL.163067078
maxcompute-table.dataworks_analyze.dwd_d_inst_derived_table_lineages,maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,SQL,DOWN,4,odps.SQL.218492663
maxcompute-table.dataworks_analyze.dwd_d_inst_derived_table_lineages,maxcompute-table.dataworks_analyze.tmp_d_table_lineage_with_skynets,SQL,DOWN,4,odps.SQL.163067078
maxcompute-table.dataworks_analyze.dwd_d_inst_derived_table_lineages,maxcompute-table.dataworks_meta.dwd_d_meta_table_producing_raw_tasks,SQL,DOWN,4,odps.SQL.237712626
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,maxcompute-table.dataworks_analyze.rpt_d_odps_table_access_by_user,SQL,DOWN,5,odps.SQL.246508185
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_stats,SQL,DOWN,5,odps.SQL.218492663
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,maxcompute-table.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view,SQL,DOWN,5,odps.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,maxcompute-table.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v2_adex_44_29844_view,SQL,DOWN,5,odps.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v2_adex_44_29844_view
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,maxcompute-table.isa_tb.dataworks_analyze_rpt_d_odps_table_user_read_detail_v1_adex_2_8303_view,SQL,DOWN,5,odps.SQL.302418356
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,maxcompute-table.useranalysis.dwd_userinsight_table_user_read_detail,SQL,DOWN,5,odps.SQL.302418356
maxcompute-table.dataworks_analyze.tmp_d_table_lineage_with_skynets,maxcompute-table.dataworks_analyze.dwd_d_table_lineage_with_derive_time,SQL,DOWN,5,odps.SQL.163067078
maxcompute-table.dataworks_analyze.tmp_d_table_lineage_with_skynets,maxcompute-table.dataworks_analyze.meta_table_lineage,SQL,DOWN,5,odps.SQL.163067078
maxcompute-table.dataworks_meta.dwd_d_meta_table_producing_raw_tasks,maxcompute-table.dataworks_meta.dwd_d_meta_table_producing_nodes,SQL,DOWN,5,odps.SQL.237905738
maxcompute-table.dataworks_meta.dwd_d_meta_table_producing_raw_tasks,maxcompute-table.dataworks_meta.dwd_d_meta_table_producing_tasks,SQL,DOWN,5,odps.SQL.237715095
maxcompute-table.dataworks_analyze.rpt_d_odps_table_access_by_user,mysql-table.f11ea9d6607e875e5033a2f85672d1c517b75b37,DATAX,DOWN,6,datax.DATAX.246914105
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_stats,maxcompute-table.dataworks_analyze.dw_meta_maxcompute_tables_v2,SQL,DOWN,6,odps.SQL.158088978
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_stats,maxcompute-table.dw_data_governance.dwd_schema_standard_table_info_dg,SQL,DOWN,6,odps.SQL.265333362
maxcompute-table.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view,maxcompute-table.alihealth_msfx.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view,SQL,DOWN,6,odps.alihealth_msfx.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view
