qualified_name,entity_guid,entity_type,name,database_name,owner
maxcompute-table.dataworks_meta.m_table_lineage_private_domains,odps.dataworks_meta.m_table_lineage_private_domains,odps-table,m_table_lineage_private_domains,dataworks_meta,晨鹏
maxcompute-table.dataworks_analyze.m_table_lineage_private_domains,odps.dataworks_analyze.m_table_lineage_private_domains,odps-table,m_table_lineage_private_domains,dataworks_analyze,085416
maxcompute-table.dataworks_analyze.m_table_filtered_lineage_private_domains,odps.dataworks_analyze.m_table_filtered_lineage_private_domains,odps-table,m_table_filtered_lineage_private_domains,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.dwd_d_inst_derived_table_lineages,odps.dataworks_analyze.dwd_d_inst_derived_table_lineages,odps-table,dwd_d_inst_derived_table_lineages,dataworks_analyze,149944
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_detail,odps.dataworks_analyze.rpt_d_odps_table_user_read_detail,odps-table,rpt_d_odps_table_user_read_detail,dataworks_analyze,085416
maxcompute-table.dataworks_analyze.tmp_d_table_lineage_with_skynets,odps.dataworks_analyze.tmp_d_table_lineage_with_skynets,odps-table,tmp_d_table_lineage_with_skynets,dataworks_analyze,149944
maxcompute-table.dataworks_meta.dwd_d_meta_table_producing_raw_tasks,odps.dataworks_meta.dwd_d_meta_table_producing_raw_tasks,odps-table,dwd_d_meta_table_producing_raw_tasks,dataworks_meta,085416
maxcompute-table.dataworks_analyze.rpt_d_odps_table_access_by_user,odps.dataworks_analyze.rpt_d_odps_table_access_by_user,odps-table,rpt_d_odps_table_access_by_user,dataworks_analyze,085416
maxcompute-table.dataworks_analyze.rpt_d_odps_table_user_read_stats,odps.dataworks_analyze.rpt_d_odps_table_user_read_stats,odps-table,rpt_d_odps_table_user_read_stats,dataworks_analyze,085416
maxcompute-table.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view,odps.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view,odps-table,dataworks_analyze_rpt_d_odps_table_user_read_detail_v0_adex_44_29844_view,isa_dt2jk,538996
maxcompute-table.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v2_adex_44_29844_view,odps.isa_dt2jk.dataworks_analyze_rpt_d_odps_table_user_read_detail_v2_adex_44_29844_view,odps-table,dataworks_analyze_rpt_d_odps_table_user_read_detail_v2_adex_44_29844_view,isa_dt2jk,538996
maxcompute-table.isa_tb.dataworks_analyze_rpt_d_odps_table_user_read_detail_v1_adex_2_8303_view,odps.isa_tb.dataworks_analyze_rpt_d_odps_table_user_read_detail_v1_adex_2_8303_view,odps-table,dataworks_analyze_rpt_d_odps_table_user_read_detail_v1_adex_2_8303_view,isa_tb,400317
maxcompute-table.useranalysis.dwd_userinsight_table_user_read_detail,odps.useranalysis.dwd_userinsight_table_user_read_detail,odps-table,dwd_userinsight_table_user_read_detail,useranalysis,400317
